text,soft_skills
" Work with community leaders, local authorities to organize selectionof community health volunteers (CHVs) and to coordinate theiractivities;","['organization', 'coordination', 'communication']"
 Develop training curriculum and training modules for CHVs;,"['instructing', 'communication', 'coordination']"
 On regular basis monitor the quality of implementation of the program;,"['mediation', 'coordination']"
 Analyzing and reporting test results;,"['mediation', 'monitoring']"
 Working independently with the aim of creating a test environment;,"['instructing', 'mediation', 'coordination']"
 Creating and maintaining test definitions and specifications;,"['communication', 'mediation', 'coordination']"
 Automating test procedures and writing test automation scripts;,"['communication', 'instructing', 'monitoring']"
 Analyzing software performance and reporting data metrics;,"['communication', 'monitoring', 'adaptability']"
" Debugging, analyzing and fixing application problems/ issues.","['complex problem solving', 'instructing', 'stress management']"
" Collecting, sorting, distributing and filing incoming and outgoingcorrespondence, reports and other materials and transmit correspondence,documents, etc. via electronic mail, fax, courier service or other meansof communication;","['communication', 'instructing', 'mediation']"
" Typing and formatting a variety material including correspondence,reports, meeting papers,  minutes and protocols, faxes, statisticaltables or tabular material;","['instructing', 'mediation', 'communication']"
" Operating a variety of office equipment such as photocopier,facsimile, scanner and other peripherals;","['instructing', 'mediation', 'communication']"
 Handling large volume of work quickly and accurately under timeconstraints;,['instructing']
 Systematic and accurate handling of confidential material withdiscretion;,"['mediation', 'communication', 'instructing']"
" Courtesy, tact and ability to work effectively with people ofdifferent national and cultural backgrounds, receive telephone calls andoffice visitors and refer them to the appropriate source or replypersonally to queries when possible or if required.",['instructing']
" Collecting, sorting, distributing and filing incoming and outgoingcorrespondence, reports and other materials and transmit correspondence,documents, etc. via electronic mail, fax, courier service or other meansof communication;","['communication', 'instructing', 'mediation']"
" Typing and formatting a variety material including correspondence,reports, meeting papers,  minutes and protocols, faxes, statisticaltables or tabular material;","['instructing', 'mediation', 'communication']"
" Operating a variety of office equipment such as photocopier,facsimile, scanner and other peripherals;","['instructing', 'mediation', 'communication']"
 Handling large volume of work quickly and accurately under timeconstraints;,['instructing']
 Systematic and accurate handling of confidential material withdiscretion;,"['mediation', 'communication', 'instructing']"
" Courtesy, tact and ability to work effectively with people ofdifferent national and cultural backgrounds, receive telephone calls andoffice visitors and refer them to the appropriate source or replypersonally to queries when possible or if required.",['instructing']
 Provides technical and managerial leadership for primary health careimprovement and management systems development;,"['communication', 'coordination', 'mediation']"
 Provides technical assistance for certification and accreditation;,"['coordination', 'mediation', 'communication']"
 Designs and manages program activities;,"['coordination', 'communication', 'mediation']"
" Manages administration, finances and staff;","['coordination', 'communication', 'mediation']"
" Coordinates annual workplans, project reporting, and project reviewsfor QA, HR and management activities .Assists COP in ensuring that USAIDrequirements are met;","['coordination', 'communication', 'mediation']"
 Works with senior management team to develop annual work plans .Buildsthe capacity of local staff to manage project activities.,"['instructing', 'time management', 'organization']"
 Monitor the overall programs performance and impact and coordinate thevarious Project activities;,"['coordination', 'mediation', 'communication']"
 Develop indicators and procedures for each project with each projectmanager;,"['coordination', 'instructing', 'communication']"
 Provide input into project design and implementation of AC programs;,"['communication', 'service orientation', 'coordination']"
 Provide effective program leadership and guidance to the projectmanagers;,"['mediation', 'communication', 'instructing']"
" Prepare the fiscal year operational plans and ongoing strategicplanning to insure project initiatives remain appropriate, responsive,high in quality, focused and realistic;","['instructing', 'mediation', 'coordination']"
" Ensure the collection of appropriate baseline, data collection andsurveillance systems for enhanced operational efficiency andeffectiveness;","['communication', 'mediation', 'coordination']"
" Evaluate the evolving status of the beneficiary population, verifiablemeasurements of achievements against program objectives;","['mediation', 'coordination', 'organization']"
 Prepare implementation plans with project managers that measurequantitative and qualitative accomplishment of objectives;,"['coordination', 'mediation', 'instructing']"
term reports reflect verifiablemeasurement impact and accomplishment in accordance with theimplementation plan;,['mediation']
" Conduct project evaluations for maintaining quality, relevance andimpact;","['communication', 'adaptability', 'service orientation']"
 Monitor initiatives with the Project Managers;,"['coordination', 'mediation', 'organization']"
 Regular field visits to various project sites for the purpose ofproject evaluation/ monitoring;,"['instructing', 'service orientation', 'mediation']"
 To organize trainings for the technical personnel in the areas ofproject design and implementation;,"['coordination', 'instructing', 'mediation']"
 Work with the Executive Director and Finance Manager to monitor fiscalyear expenditures in relation to the accomplishment of projectobjectives;,"['mediation', 'coordination', 'organization']"
 Supervise the Project Managers and the projects staff;,"['coordination', 'mediation', 'organization']"
 Recommend trainings that would enhance the capacity of the programteam;,"['mediation', 'instructing', 'coordination']"
 Assure timely and quality reporting on to the partnership and donors;,"['coordination', 'mediation', 'communication']"
 Report on the progress of projects and initiatives to the ExecutiveDirector and PR Responsible;,"['coordination', 'mediation', 'communication']"
" Liaise with Donors, for program orientation, acquisition of resourcesand other issues;","['mediation', 'coordination', 'communication']"
" Assure good collaboration with all donors, international and localNGOs and community entities.","['communication', 'active listening', 'coordination']"
" Researching funding sources, developing and writing proposals incollaboration with Program Managers and other staff members; ","['coordination', 'communication', 'instructing']"
" Preparing grant applications and supporting documentation (charts,maps, slides, photographs and other visual aides) to ensure compliancewith funding requirements, including researching demographic,statistical and factual data necessary for the applications, in allareas; ","['mediation', 'communication', 'instructing']"
 Maintaining records for grants for compliance with applicableregulations and policies; ,"['coordination', 'mediation', 'instructing']"
 Assisting in the implementation of the organization's strategic goalsrelated to the program development; ,"['mediation', 'coordination', 'organization']"
" Lending assistance as needed with other development tasks, such asspecial events and donor solicitation; ","['mediation', 'instructing', 'communication']"
 Overall management of operation and direction of the department;,"['mediation', 'coordination', 'communication']"
 Manage project staff and subcontractors;,"['coordination', 'communication', 'service orientation']"
 Develop and implement work plans;,"['communication', 'coordination', 'instructing']"
 Develop and maintain a strong professional relationship and ensureaccurate documentation of communications and instructions.,"['communication', 'mediation', 'coordination']"
 To manage all manufacturing functions in the following processes:,['coordination']
 Plating and Finishing ,"['instructing', 'mediation', 'coordination']"
" Integration of control Systems,Wiring, Integration of Servo Systems;","['mediation', 'communication', 'coordination']"
 Production Control and Process management: Starting from raw materialsto handing the finished products for shipping to the customer;,"['mediation', 'coordination', 'communication']"
 Managing Statistical Process Control on the production floor;,"['coordination', 'mediation']"
 Managing the maintenance of the manufacturing equipment;,"['mediation', 'coordination', 'communication']"
 Managing the educational efforts in the company's apprenticeshipprogram.ADDITIONAL RESPONSIBILITIES:  ,"['coordination', 'organization', 'mediation']"
" Participates in Industrial Shows, representing the company, wheneverthe need arises;",['mediation']
 Attends training classes as required.,['instructing']
 Manage and control the company's activities in Armenia;,"['mediation', 'coordination', 'organization']"
" Suggest, modify and secure the realization of corporate policies;","['mediation', 'communication', 'coordination']"
" Promote efficiently the image, products and services of the company;","['mediation', 'service orientation', 'communication']"
 Develop beneficial cooperation with old and new customers;,['communication']
 Create mutually beneficial alliances with local authorities.,"['coordination', 'communication']"
"mails, process the correspondence and answer to cliente","['instructing', 'communication', 'mediation']"
 Create and operate client database sheets;,['communication']
 Receive and send parts of the ITN project to clients.Primary responsibilities include: recruitment andtesting of potential program participants; orientation and coordinationof logistics for participants; oversight of administrative and financefunctions; supervision and delivery of alumni programming; and liaisonwith government officials. The Country Director reports to the ActingRegional Directors for the South Caucasus and works withWashington,"['mediation', 'coordination', 'communication']"
based program managers and field,"['organization', 'service orientation', 'instructing']"
based program officers. Oversight and Leadership: ,"['coordination', 'organization', 'mediation']"
" Provides overall supervision of American Councils programs in Armeniaby communicating, as needed, with Yerevan","['coordination', 'mediation', 'instructing']"
"based staff members concerning academic, operational, and other policy matters asaffected by the region's political, economic and cultural conditions;","['mediation', 'coordination', 'organization']"
" Represents American Councils as related to all programs in individualconsultations, public appearances, and meetings with potential andexisting partners;","['mediation', 'coordination', 'instructing']"
" Maintains American Councils organizational relations in Armenia withrelevant US government offices and institutions (the US embassy/consulate, PAS, USAID, and other US government agencies); with theArmenian government and private institutions (government ministries,agencies and offices; national corporations; American Councils'institutional partners); with the in","['mediation', 'coordination', 'organization']"
"country offices of Americanorganizations and foundations; and, with the international and domesticpress;","['mediation', 'coordination', 'communication']"
" Communicates regularly with, and makes recommendations to the ActingRegional Directors on general program matters, on perceptions ofAmerican Councils administered programs and on the influence of localconditions on administration of programs in Armenia;","['coordination', 'mediation', 'instructing']"
" Participates actively in developing new programs, seeking new fundingsources, and enhancing external relations.Administration and Finance: ","['coordination', 'mediation', 'communication']"
 Oversees American Councils internal operations;,"['coordination', 'organization', 'mediation']"
 Coordinates the activities of program staff; and advises staff onAmerican Councils policies and employment matters;,"['coordination', 'mediation', 'communication']"
" Manages all general office administrative matters such as negotiatingcontracts; interacting with landlords, maintaining proper workenvironment, etc.;",['instructing']
" Provides DC office with finance reports monthly, and budgets every sixmonths; monitors all outgoing and incoming funds;","['coordination', 'communication', 'service orientation']"
 Oversees tracking of all applicant and participant files;,"['instructing', 'mediation', 'communication']"
" Hires for approved positions, prepares contracts and maintains filesfor host","['coordination', 'mediation', 'instructing']"
"country national staff, trains and oversees staff, conducts performance reviews, monitors proper submission of timesheets.Program Administration: ","['coordination', 'instructing', 'communication']"
" Oversees and assists in organizing, implementing and reporting onactivities, including recruitment and alumni activities delivered byhost country offices;","['coordination', 'mediation', 'instructing']"
 Monitors all recruitment activities to assure timely and properconduct of competitions;,"['instructing', 'mediation', 'communication']"
" Conducts recruitment, including advertising, lectures, interviews withfinalist candidates, testing, correspondence, and meetings with parents,applicants and finalists, and those not selected;","['instructing', 'mediation', 'active listening']"
" Coordinates alumni activity planning and delivery of appropriateactivities for alumni of all programs, oversees alumni assistants andalumni fellows, coordinates updates to alumni information, submitsregular reports on alumni activity;","['instructing', 'coordination', 'communication']"
" Coordinates appropriate contributions to recruitment and alumniactivities from alumni, host","['coordination', 'mediation', 'instructing']"
"country national assistants, and Americans;","['mediation', 'organization', 'coordination']"
 Meets with ministry and US government officials regularly to provideappropriate information and overview of the competition process andalumni activities; keeps them informed of changes regarding thecompetition;,"['mediation', 'coordination', 'instructing']"
" Coordinates and supervises all logistics for events: meeting flights,transporting to hotels, organizing support staff, registeringparticipants, providing support to dignitaries and guests.The Regional Director is responsible for ongoingprogram management, budgeting and fundraising, strategy formulation andoverall program development for the network of three centers in Tbilisi,Baku and Yerevan.","['coordination', 'instructing', 'mediation']"
" To organize, transmit and follow up all phone and fax communicationsin the base;",['instructing']
 Provide relevant information on the project;,"['coordination', 'communication', 'service orientation']"
 Run the overall procedure of loan guaranty provision;,['mediation']
 Maintain the data base of applications for loan guaranty extension;,"['service orientation', 'mediation', 'communication']"
" Prepare current analyses on project implementation, developsuggestions;","['coordination', 'mediation']"
" Leading, supervising and monitoring overall operational activities ofthe Project;","['coordination', 'mediation', 'communication']"
 Liaising with Government entities on consultations related to theexpected commitments;,"['mediation', 'coordination', 'communication']"
" Liaising with Donor entities on consultations related to the expectedcommitments, in close cooperation with the UNDP Portfolio Manager;","['coordination', 'mediation', 'communication']"
 Managing financial inputs delivery and ensuring planned outputs as perProject Document and work plan;,"['communication', 'instructing', 'coordination']"
" Ensuring preparation of the project budget revisions, monitoring theproject budget execution;","['coordination', 'mediation', 'communication']"
" Establishing project administrative structures, reporting to UNDP onfinancial and operational status of the Project; ","['mediation', 'coordination', 'organization']"
" Initiating with the Government counterparts, and in collaboration withDonors, an assessment/ review of organisational methodologies for anindependent Public Defender's Office (in line with constitutionaldevelopments);","['mediation', 'coordination', 'communication']"
 Organising regional seminars.,['coordination']
" To achieve sales volume targetsWithin delegated authority, the Admin /FinanceClerk will be responsible for the following duties: ","['coordination', 'mediation', 'service orientation']"
 Prepare and initially park the financial transactions for Yerevanoffice;,"['mediation', 'coordination', 'service orientation']"
 Check all invoices and supporting financial documentation forcorrectness and accuracy; ,"['communication', 'instructing', 'mediation']"
 Provide information related to financial transactions; ,"['communication', 'mediation', 'service orientation']"
 Assist Administration Clerk in general administration work; ,"['mediation', 'coordination']"
 Perform other related duties as required.,['instructing']
 Assess and develop recommendations for strengthening the institutionalcapabilities of regional and local administrations;,"['coordination', 'mediation', 'communication']"
" Assess training needs of civil servants at local, regional andnational levels for improved public service delivery;","['service orientation', 'instructing', 'coordination']"
" Organise and deliver training workshops for national, regional andlocal civil servants in close collaboration with the National Commissionfor Civil Service and the Academy of Public Administration;","['mediation', 'coordination', 'organization']"
" Support the development of a civil service training policy and manualsupportive of the decentralisation process which will guaranteecontinuity and sustainability in the continuous upgrade of the civilservants skills at local, regional and central level.","['mediation', 'coordination', 'service orientation']"
 Manage program financial system and budget of the organization;,"['organization', 'coordination', 'mediation']"
 Implement general and every day accounting of the organization inaccordance with the requirements of the donor organizations and incompliance with the RoA law;,"['mediation', 'coordination', 'organization']"
" Ensure that accurate and complete accounting, reporting and internalcontrol systems are functioning and that all relevant records aremaintained;","['instructing', 'communication', 'active listening']"
 Review expenditures (in coordination with the Executive Director) tomake sure that they are allowable;,"['mediation', 'coordination']"
" Initiate payment vouchers, check all invoices for accuracy and totalsas well as calculations;","['instructing', 'service orientation', 'communication']"
 Produce annual and monthly accounts and provide regular financialreports;,"['mediation', 'coordination']"
"weekly the organization's expenditures and provide other trackingreports (e.g., possibly car usage) as required by the ExecutiveDirector.","['mediation', 'coordination']"
" Liaise with internal and external auditors; tax authorities and othergovernmental agencies; prepare and insure timely submission of thereports to the corresponding authorities as required by the RoA law(quarterly Income Tax reports and Pension Fund reports, VAT reports,annual reports etc.);","['mediation', 'coordination', 'communication']"
 Stay current with the RoA related legislation;,"['mediation', 'coordination', 'communication']"
 Maintain the organization's system for filing and maintainingsupporting documentation.,"['coordination', 'mediation', 'organization']"
 Keep and store separately all receipts and other documentation tosupport expenses charged to each specific grant of the organization;,"['instructing', 'mediation', 'coordination']"
 Communicate daily with the Executive Director;,"['coordination', 'mediation', 'communication']"
" Assisting and coordinating the civic education instructors' work withdiscussion groups and initiative groups, community forums and othervarious community development and civic initiatives, including largescale volunteer actions. ","['organization', 'coordination', 'communication']"
" Coordinating the work of instructors (organizing work groups) for thedevelopment of new themes, materials and approaches for discussiongroups to be conducted by instructors. ","['mediation', 'instructing', 'coordination']"
" including outreach,contact with the media, and development of information products (suchas, during the next 6 months, a CCDI brochure, logo and website).","['mediation', 'coordination', 'communication']"
 Providing feedback to management on possible new professionaldevelopment and programmatic trainings for instructors.,"['instructing', 'stress management', 'time management']"
" Contributing to the development of new handouts, publications andother materials to be used by instructors.","['instructing', 'mediation', 'communication']"
" Assisting in the coordination/organization of meetings, conferencesand other special events/projects (including volunteer actions) asrequired.","['coordination', 'mediation', 'communication']"
 Conducting monitoring site visits to CCDI field offices and activitiesorganized by instructors.,"['instructing', 'service orientation', 'mediation']"
" Assisting as required, with the preparation of CCDI technical papers,reports, project updates and oral/written briefings.","['mediation', 'instructing', 'communication']"
 Assisting as required with CCDI fundraising efforts and relatedstrategic planning.,"['instructing', 'coordination', 'mediation']"
 Communicate daily with the CCDI Executive Director and report onactivities and project progress. ,"['coordination', 'mediation', 'communication']"
" Gather, enter, and/or update data to maintain project records anddatabases and as appropriate, establish and maintain files and records.","['instructing', 'communication', 'service orientation']"
 Appropriate higher education ,"['mediation', 'communication']"
 Appropriate professional experience in the areas of responsibility forthis position as well as in areas related to the mission of CCDI.,"['mediation', 'instructing']"
 Organizing and coordinating skills ,"['coordination', 'instructing', 'communication']"
 Ability to compose and edit written materials.,['instructing']
 Demonstrated good communication and listening skills.,"['instructing', 'critical thinking', 'active listening']"
 Some level of English ability with a commitment to personally improvethis proficiency in the near future is strongly desired.,"['instructing', 'adaptability', 'complex problem solving']"
" Computer knowledge (Minimum required is Microsoft Office,Internet/Email. Presentation, graphic design, and/or web design programsalso desired.)",['communication']
"ends unexpectedly inorder to meet goals and objectives.The above statements are intended to describe the general nature andlevel of work being performed. They are not intended to be construed asan exhaustive list of all responsibilities, duties and skills.","['instructing', 'critical thinking', 'complex problem solving']"
 Preparation and design of promotional and related electronic/ printmaterials;,"['mediation', 'coordination', 'communication']"
 Design and development of advertisement/ promotional tools.,"['communication', 'instructing', 'coordination']"
 Provide translation and interpretation services.,"['communication', 'service orientation', 'mediation']"
 Professionally answer telephone calls and refer and/or transfer themto appropriate employees.,"['instructing', 'communication', 'service orientation']"
" Manage the administrative filing system, track the flow of documents,and maintain appropriate hard","['mediation', 'instructing', 'communication']"
 Maintain incoming and outgoing correspondence.,"['instructing', 'communication', 'active listening']"
" As requested, gather, enter, and/or update data to maintain projectrecords and databases and as appropriate, establish and maintain filesand records.","['instructing', 'communication']"
 Meet visiting organization representatives.,"['organization', 'coordination']"
 Input all collected business cards and contact information of otherorganizations.,"['instructing', 'communication']"
" Assist with logistics of special events and business trips, asrequested.","['coordination', 'instructing', 'communication']"
 Monitor and maintain the stock of office supplies and otherconsumables in all CCDI offices.,['instructing']
 Insure CCDI office equipment is in good condition and supplies areavailable. Notify the equipment maintenance specialist about repairrequests from all offices.,"['instructing', 'service orientation', 'stress management']"
" Collect articles, video documentaries, and pictures published byorganizations and media outlets illustrating CCDI activities. ","['active listening', 'instructing', 'communication']"
 Coordinate and maintain the newspaper subscriptions for all CCDIoffices.,"['instructing', 'coordination', 'active listening']"
" Perform other duties as assigned.The Supply Officer is responsible forsupervision and coordination of activities of procurement, placement,receipt and storage of supply products, preparation of purchase ordersand inventories, finding sources of supply with emphasis on plausibleinternational suppliers, obtaining quotes from suppliers, coordinationof purchasing, warehousing and inventory functions.","['instructing', 'mediation', 'coordination']"
 Translating and preparing letters and other office materials;,"['instructing', 'mediation', 'communication']"
 Keeping updated the schedule of meetings and invitations for theDirector;,"['coordination', 'mediation', 'instructing']"
" Answering telephone calls, sending fax, email, making photocopies foroffice needs; ",['instructing']
